offset 13, kernel32
5E187174, HeapSetInformation
2B6B23D6, HeapSize
BFE61F06, HeapSummary
C1E14876, HeapUnlock
32C1757E, HeapUsage
7DBDBBB5, HeapValidate
32FB21DC, HeapWalk
C9010C46, InitAtomTable
A12B930B, InitializeCriticalSection
C956ACC1, InitializeCriticalSectionAndSpinCount
ABB339BB, InitializeSListHead
D46298A1, InterlockedCompareExchange
F742E285, InterlockedDecrement
549D9F3F, InterlockedExchange
81C94BE2, InterlockedExchangeAdd
692A2B8C, InterlockedFlushSList
FC42E3A5, InterlockedIncrement
930503D1, InterlockedPopEntrySList
9E6DBED7, InterlockedPushEntrySList
4737EB21, InvalidateConsoleDIBits
70467147, IsBadCodePtr
F5BBAB70, IsBadHugeReadPtr
85CCA5F3, IsBadHugeWritePtr
6E824142, IsBadReadPtr
53805BF2, IsBadStringPtrA
53805C08, IsBadStringPtrW
34586C28, IsBadWritePtr
01448797, IsDBCSLeadByte
5349E638, IsDBCSLeadByteEx
A36DC676, IsDebuggerPresent
696C2F09, IsProcessInJob
78CB00E8, IsProcessorFeaturePresent
E8ECEA5D, IsSystemResumeAutomatic
4340E2B3, IsValidCodePage
2E310E1D, IsValidLanguageGroup
B7E02291, IsValidLocale
C9619944, IsValidUILanguage
E610CFB8, IsWow64Process
F825B20C, LCMapStringA
F825B222, LCMapStringW
DCCC4C52, LZClose
54254872, LZCloseFile
8985BC5F, LZCopy
7CB41C7B, LZCreateFileW
8B75BC4B, LZDone
954DBC1A, LZInit
25C3598C, LZOpenFileA
25C359A2, LZOpenFileW
A70DB9CA, LZRead
A92DB9D1, LZSeek
ECC548E1, LZStart
016D1E21, LeaveCriticalSection
EC0E4E8E, LoadLibraryA
0753A4FC, LoadLibraryExA
0753A512, LoadLibraryExW
EC0E4EA4, LoadLibraryW
BBF979EC, LoadModule
934E1F7B, LoadResource
4C0297FA, LocalAlloc
85C60E88, LocalCompact
5291F3B9, LocalFileTimeToFileTime
4BC2E54A, LocalFlags
5CBAEAF6, LocalFree
4419ADBD, LocalHandle
68AAEA3C, LocalLock
7E5F5132, LocalReAlloc
CC2A1F08, LocalShrink
7762E8B6, LocalSize
BFD28089, LocalUnlock
1122D457, LockFile
4ADD163C, LockFileEx
9A4E2F7B, LockResource
221BF577, MapUserPhysicalPages
AFF8DC88, MapUserPhysicalPagesScatter
7B073C59, MapViewOfFile
C3F716D6, MapViewOfFileEx
434A3697, Module32First
B4BA1AA8, Module32FirstW
56F4676A, Module32Next
3B52B7FA, Module32NextW
A4048954, MoveFileA
04E2566A, MoveFileExA
04E25680, MoveFileExW
A404896A, MoveFileW
E079223C, MoveFileWithProgressA
E0792252, MoveFileWithProgressW
5B4F619D, MulDiv
EF4AC4E4, MultiByteToWideChar
6E9667B5, NlsConvertIntegerToString
6BEF4DD4, NlsGetCacheUpdateCount
8841A2EB, NlsResetProcessLocale
494C65CA, NumaVirtualQueryNode
518C7C0B, OpenConsoleW
FF8B5B7B, OpenDataFile
BF620084, OpenEventA
BF62009A, OpenEventW
112704B8, OpenFile
8ED44C9E, OpenFileMappingA
8ED44CB4, OpenFileMappingW
E62F1C8E, OpenJobObjectA
E62F1CA4, OpenJobObjectW
DD81EE48, OpenMutexA
DD81EE5E, OpenMutexW
EFE297C0, OpenProcess
3B14AC83, OpenProfileUserMapping
EFFF49B5, OpenSemaphoreA
EFFF49CB, OpenSemaphoreW
58C91E6F, OpenThread
0DF17FDE, OpenWaitableTimerA
0DF17FF4, OpenWaitableTimerW
470D22BC, OutputDebugStringA
470D22D2, OutputDebugStringW
2AEE3B7F, PeekConsoleInputA
2AEE3B95, PeekConsoleInputW
B407C411, PeekNamedPipe
83F28CA1, PostQueuedCompletionStatus
120E06F3, PrepareTape
B8CF9F8D, PrivCopyFileExW
4E48564D, PrivMoveFileIdentityW
3249BAA7, Process32First
D53992A4, Process32FirstW
4776654A, Process32Next
2A523C0A, Process32NextW
AC4BA4E8, ProcessIdToSessionId
E642F767, PulseEvent
5B367B01, PurgeComm
BD7094C6, QueryActCtxW
7DD4C357, QueryDepthSList
40A6F203, QueryDosDeviceA
40A6F219, QueryDosDeviceW
8EC65AF2, QueryInformationJobObject
D23B2FDE, QueryMemoryResourceNotification
EA7AF15B, QueryPerformanceCounter
249466D5, QueryPerformanceFrequency
9FE1C8BF, QueryWin31IniFilesMappedToRegistry
1D7F957B, QueueUserAPC
A46A9B02, QueueUserWorkItem
9BE0580E, RaiseException
87925BF2, ReadConsoleA
27702B7F, ReadConsoleInputA
DFCAE10A, ReadConsoleInputExA
DFCAE120, ReadConsoleInputExW
27702B95, ReadConsoleInputW
D3A97C05, ReadConsoleOutputA
CF4A65DA, ReadConsoleOutputAttribute
213E9470, ReadConsoleOutputCharacterA
213E9486, ReadConsoleOutputCharacterW
D3A97C1B, ReadConsoleOutputW
87925C08, ReadConsoleW
18312DA7, ReadDirectoryChangesW
10FA6516, ReadFile
40C145FC, ReadFileEx
8BC6D066, ReadFileScatter
579D1BE9, ReadProcessMemory
57EDA677, RegisterConsoleIME
581DA7E4, RegisterConsoleOS2
57A5A9BF, RegisterConsoleVDM
ED1EED89, RegisterWaitForInputIdle
5375A683, RegisterWaitForSingleObject
DF91A14C, RegisterWaitForSingleObjectEx
877BB570, RegisterWowBaseHandlers
66E28B68, RegisterWowExec
CF077CF4, ReleaseActCtx
14A059E5, ReleaseMutex
DF11EB6D, ReleaseSemaphore
83D32647, RemoveDirectoryA
83D3265D, RemoveDirectoryW
E894077A, RemoveLocalAlternateComputerNameA
E8940790, RemoveLocalAlternateComputerNameW
ABF6E97A, RemoveVectoredExceptionHandler
00EDA06C, ReplaceFile
036007AE, ReplaceFileA
036007C4, ReplaceFileW
F34084CC, RequestDeviceWakeup
77CC0B4A, RequestWakeupLatency
560B084F, ResetEvent
EC3BA208, ResetWriteWatch
2FAB3CB4, RestoreLastError
9E4A3F88, ResumeThread
818A64C8, RtlCaptureContext
2BDC1FD7, RtlCaptureStackBackTrace
C930AF1B, RtlFillMemory
CF14E85B, RtlMoveMemory
C527094F, RtlUnwind
C53D4FDB, RtlZeroMemory
CB93530C, ScrollConsoleScreenBufferA
CB935322, ScrollConsoleScreenBufferW
E7D453CA, SearchPathA
E7D453E0, SearchPathW
96520985, SetCPGlobal
E9C776D0, SetCalendarInfoA
E9C776E6, SetCalendarInfoW
8ECF0861, SetClientTimeZoneInformation
8D082811, SetComPlusPackageInstallStatus
EC69E7DB, SetCommBreak
D0CF34F6, SetCommConfig
535E1957, SetCommMask
F102F6D5, SetCommState
C35533C6, SetCommTimeouts
16A42291, SetComputerNameA
ACC8A586, SetComputerNameExA
ACC8A59C, SetComputerNameExW
16A422A7, SetComputerNameW
6969909C, SetConsoleActiveScreenBuffer
DF80B7C3, SetConsoleCP
9B139D5F, SetConsoleCommandHistoryMode
C40E481F, SetConsoleCtrlHandler
F2F6AB2A, SetConsoleCursor
FFE2CB1E, SetConsoleCursorInfo
07D2CB55, SetConsoleCursorMode
982DAB93, SetConsoleCursorPosition
D796A152, SetConsoleDisplayMode
E99DF92B, SetConsoleFont
D41A3466, SetConsoleHardwareState
EFA5F625, SetConsoleIcon
2AD46BD2, SetConsoleInputExeNameA
2AD46BE8, SetConsoleInputExeNameW
565760E3, SetConsoleKeyShortcuts
06C9D210, SetConsoleLocalEUDC
A5D04E83, SetConsoleMaximumWindowSize
576B477C, SetConsoleMenuClose
F74DF91C, SetConsoleMode
8D13A815, SetConsoleNlsMode
B23638B9, SetConsoleNumberOfCommandsA
B23638CF, SetConsoleNumberOfCommandsW
EFBCD669, SetConsoleOS2OemFormat
CBC29D0D, SetConsoleOutputCP
3D9B3950, SetConsolePalette
5D1AB984, SetConsoleScreenBufferSize
7A2C1C8E, SetConsoleTextAttribute
76A5E942, SetConsoleTitleA
76A5E958, SetConsoleTitleW
F3A7BA9E, SetConsoleWindowInfo
1245F22D, SetCriticalSectionSpinCount
BFC7034F, SetCurrentDirectoryA
BFC70365, SetCurrentDirectoryW
C61DD75C, SetDefaultCommConfigA
C61DD772, SetDefaultCommConfigW
673F2399, SetDllDirectoryA
673F23AF, SetDllDirectoryW
96A028A6, SetEndOfFile
F2E1A993, SetEnvironmentVariableA
F2E1A9A9, SetEnvironmentVariableW
A498EAB6, SetErrorMode
F108744E, SetEvent
FA99EFC9, SetFileApisToANSI
3DA822CD, SetFileApisToOEM
56F7396A, SetFileAttributesA
56F73980, SetFileAttributesW
76DA08AC, SetFilePointer
B8AA2B95, SetFilePointerEx
33247852, SetFileShortNameA
33247868, SetFileShortNameW
E1159BB0, SetFileTime
FE2D257B, SetFileValidData
F52309DB, SetFirmwareEnvironmentVariableA
F52309F1, SetFirmwareEnvironmentVariableW
F399BF32, SetHandleContext
FB8F68C9, SetHandleCount
7F9E1144, SetHandleInformation
301F89AA, SetInformationJobObject
450C1854, SetLastConsoleEventActive
75F21966, SetLastError
643C0817, SetLocalPrimaryComputerNameA
